Fund Name,Expense Category,Org Description,Object Description,Original Budget,Revised Budget,Fiscal Year,ID
General Fund,Supplies Exp,Genl Fd Traffic Signs/Markings,Supplies Office Supplies,300,300,2016,2016-1001-440-80750-00000000-00000000-5101
General Fund,Purchased Services,Genl Fd Code Enforcement,Travel Lodging/Transport/Other,3240,3240,2016,2016-1001-450-80610-00000000-00000000-5570
Water Fund,Supplies Exp,Water General Operations,Supplies Janitorial,283,283,2016,2016-5212-510-80900-00000000-WGENX   -5109-
General Fund,G&A Transfer Out,Genl Fd CSISD Natatorium,G&A Transfer Out General Fd,4550,4550,2016,2016-1001-530-81125-AQ734   -00000000-6310
Electric Fund,Salaries/Benefit Exp,Elec Sub Meter Expense,Benefits Group Life Insurance,795,795,2016,2016-5211-500-80820-00000000-586     -5056
General Fund,Supplies Exp,Genl Fd Network Services,Supplies Computer Hdw/Sftw/Oth,54852,54852,2016,2016-1001-600-81260-00000000-00000000-5112
General Fund,Salaries/Benefit Exp,Genl Fd Adult Softball,Benefits Workers Comp Ins,598,598,2016,2016-1001-530-81125-SP752   -00000000-5057
General Fund,Purchased Services,Genl Fd Network Services,Travel Lodging/Transport/Other,2563,2563,2016,2016-1001-600-81260-00000000-00000000-5570
Electric Fund,Salaries/Benefit Exp,Elec T&D Mnt Underground Lines,Salaries Full Time Labor,180451,180451,2016,2016-5211-500-80870-00000000-594     -5011-
General Fund,Salaries/Benefit Exp,Genl Fd GIS,Benefits Gym Membership,121,121,2016,2016-1001-600-81220-00000000-00000000-5060
General Fund,Supplies Exp,Genl Fd Operations East Dist,Supplies Chemicals/Pesticides,17101,17101,2016,2016-1001-530-81141-00000000-00000000-5108
General Fund,Supplies Exp,Genl Fd Community Svcs Admin,Supplies Minor Equip/Tools,250,250,2016,2016-1001-450-80600-00000000-00000000-5102
Juvenile Case Manager Fee Fund,Salaries/Benefit Exp,Juv Mgr Fd Operations,Salaries Part Time Labor w Ben,28829,28829,2016,2016-3009-300-80240-00000000-00000000-5012
General Fund,Salaries/Benefit Exp,Genl Fd Emergency Medical Svcs,Benefits Workers Comp Ins,36812,36812,2016,2016-1001-420-80440-00000000-00000000-5057
Water Projects Fund,Debt Expense,Water CIP Fd Non Dept Exp,Debt Misc Issue Costs,40000,40000,2016,2016-4238-910-89100-00000000-00000000-6620
General Fund,Prof Svcs Exp,Genl Fd Thomas Pool,Prof Svcs Pre Employment Costs,523,523,2016,2016-1001-530-81125-AQ732   -00000000-5307
Water Fund,Purchased Services,Water General Operations,Insurance Premiums,28016,28016,2016,2016-5212-510-80900-00000000-WGENX   -5520-
General Fund,Supplies Exp,Genl Fd City Manager,Supplies Computer Hdw/Sftw/Oth,428,428,2016,2016-1001-100-80130-00000000-00000000-5112
General Fund,Indirect Exp,Genl Fd Adult Kickball,Recreation Indirect Prog Exp,8109,8109,2016,2016-1001-530-81125-SP758   -00000000-5830
General Fund,Purchased Services,Genl Fd Tourism Athletics,Travel Lodging/Transport/Other,32806,32806,2016,2016-1001-530-81122-00000000-00000000-5570
General Fund,Utilities Exp,Genl Fd PARD Administration,Utilities Local Phone,2497,2497,2016,2016-1001-530-81100-00000000-00000000-5404
Electric Fund,Supplies Exp,Elec T&D Indir Const Costs,Supplies Minor Equip/Tools,24828,24828,2016,2016-5211-500-80870-00000000-107.21  -5102
General Fund,Salaries/Benefit Exp,Genl Fd Purchasing,Benefits Workers Comp Ins,315,315,2016,2016-1001-300-80220-00000000-00000000-5057
General Fund,Salaries/Benefit Exp,Genl Fd Water Fitness,Benefits FICA,85,85,2016,2016-1001-530-81125-AQ737   -00000000-5050
General Fund,Salaries/Benefit Exp,Genl Fd Operations West Dist,Salaries Standby,1421,1421,2016,2016-1001-530-81143-00000000-00000000-5016
Wastewater Fund,Replacements Exp,WW General Plant Maintenace,Replacement Fleet,197507,197507,2016,2016-5213-520-80950-00000000-SGMTM   -5600-
General Fund,Utilities Exp,Genl Fd Adamson Lagoon,Utilities Wastewater,1450,1450,2016,2016-1001-530-81125-AQ733   -00000000-5403
Electric Fund,Salaries/Benefit Exp,Elec T&D Mnt Underground Lines,Benefits Group Life Insurance,515,515,2016,2016-5211-500-80870-00000000-594     -5056-
General Fund,Prof Svcs Exp,Genl Fd Operations South Dist,Prof Svcs Miscellaneous,250,250,2016,2016-1001-530-81142-00000000-00000000-5399
General Fund,Supplies Exp,Genl Fd SW Center   Teen,Supplies Janitorial,510,510,2016,2016-1001-530-81125-CT840   -00000000-5109
Debt Service Fund,Debt Expense,Debt Svc Fd GO2009R,Debt Principal Pmts GOB,475000,475000,2016,2016-1151-910-89210-GO2009R -00000000-6633
General Fund,Salaries/Benefit Exp,Genl Fd IT Administration,Benefits Workers Comp Ins,273,273,2016,2016-1001-600-81200-00000000-00000000-5057
General Fund,Misc Operating Exp,Genl Fd Special Operations,Misc Memberships,302,302,2016,2016-1001-410-80360-00000000-00000000-5930
General Fund,Supplies Exp,Genl Fd Youth Volleyball,Supplies Goodwill,158,158,2016,2016-1001-530-81125-SP757   -00000000-5116
General Fund,Salaries/Benefit Exp,Genl Fd Youth Flag Football,Benefits Workers Comp Ins,23,23,2016,2016-1001-530-81125-SP755   -00000000-5057
General Fund,Supplies Exp,Genl Fd Southwood Pool,Supplies Office Supplies,450,450,2016,2016-1001-530-81125-AQ731   -00000000-5101
General Fund,Supplies Exp,Genl Fd Facilities Management,Supplies Veh/Equip Fuel & Oil,13767,13767,2016,2016-1001-440-80720-00000000-00000000-5104
General Fund,Salaries/Benefit Exp,Genl Fd Police Administration,Salaries Incentive Pay,4776,4776,2016,2016-1001-410-80300-00000000-00000000-5019
General Fund,Supplies Exp,Genl Fd Lincoln Center,Supplies Veh/Equip Fuel & Oil,4013,4013,2016,2016-1001-530-81125-CT850   -00000000-5104
Property & Casualty Ins Fund,Salaries/Benefit Exp,P&C Ins Fd Operations,Benefits Unemployment Comp Ins,60,60,2016,2016-2221-100-80160-00000000-00000000-5058
General Fund,Supplies Exp,Genl Fd City Manager,Supplies Awards,45,45,2017,2017-1001-100-80130-00000000-00000000-5121
General Fund,Salaries/Benefit Exp,Genl Fd SW Center   Teen,Salaries Overtime,502,502,2016,2016-1001-530-81125-CT840   -00000000-5014
General Fund,Supplies Exp,Genl Fd Jail,Supplies Goodwill,202,202,2016,2016-1001-410-80355-00000000-00000000-5116-
Water Fund,Prof Svcs Exp,Water General Operations,Prof Svcs Special Studies,55300,83945,2016,2016-5212-510-80910-00000000-WGENX   -5304-
General Fund,Salaries/Benefit Exp,Genl Fd Technology Services,Benefits Retirement,49764,49764,2016,2016-1001-600-81240-00000000-00000000-5051
General Fund,Replacements Exp,Genl Fd Emergency Management,Replacement Copiers,1124,1124,2016,2016-1001-420-80410-00000000-00000000-5603
Northgate Parking Fund,Purchased Services,NG Pkg Fd Parking Oper,Travel Lodging/Transport/Other,925,925,2016,2016-5202-450-80621-00000000-00000000-5570
General Fund,Utilities Exp,Genl Fd Support Services,Utilities Natural Gas,6952,6952,2016,2016-1001-410-80340-00000000-00000000-5401
General Fund,Utilities Exp,Genl Fd City Manager,Utilities Local Phone,610,610,2016,2016-1001-100-80130-00000000-00000000-5404
General Fund,Purchased Services,Genl Fd Code Enforcement,Insurance Premiums,1415,1415,2016,2016-1001-450-80610-00000000-00000000-5520
General Fund,Supplies Exp,Genl Fd Business Services,Supplies Computer Hdw/Sftw/Oth,2000,2000,2016,2016-1001-600-81250-00000000-00000000-5112
General Fund,Purchased Services,Genl Fd Develop Svcs Bldg,Printing External,1000,1000,2016,2016-1001-430-80520-00000000-00000000-5582
General Fund,Salaries/Benefit Exp,Genl Fd PARD Administration,Benefits Gym Membership,362,362,2016,2016-1001-530-81100-00000000-00000000-5060
General Fund,Salaries/Benefit Exp,Genl Fd Special Operations,Benefits Workers Comp Ins,7822,9514,2016,2016-1001-410-80360-00000000-00000000-5057
General Fund,Utilities Exp,Genl Fd Cemetery,Utilities Electric,20428,20428,2016,2016-1001-530-81144-00000000-00000000-5400
Wastewater Fund,Supplies Exp,WW Pumping Treat Disp Oper,Supplies Chemicals/Pesticides,20000,20000,2016,2016-5213-520-80960-00000000-STRTX   -5108-
General Fund,Salaries/Benefit Exp,Genl Fd Communications,Benefits Educational Reimburse,3000,3000,2016,2016-1001-410-80350-00000000-00000000-5059
General Fund,Utilities Exp,Genl Fd Planning,Utilities Local Phone,444,444,2016,2016-1001-430-80530-00000000-00000000-5404
Property & Casualty Ins Fund,Non-Dept Ins Claims,P&C Ins Fd Non Dept Exp,Insure Claims Prop Damage Gen,40000,40000,2016,2016-2221-910-89100-00000000-00000000-6121
Electric Fund,Supplies Exp,Elec Adm Ofc Supp/Other,Supplies Promotional,5500,5500,2016,2016-5211-500-80810-00000000-921     -5115
General Fund,Maintenance Exp,Genl Fd Southwood Pool,Maint Office Equip/Furn,160,160,2016,2016-1001-530-81125-AQ731   -00000000-5200
General Fund,Purchased Services,Genl Fd P&DS Administration,Insurance Premiums,2144,2144,2016,2016-1001-430-80500-00000000-00000000-5520
General Fund,Prof Svcs Exp,Genl Fd Criminal Investigation,Prof Svcs Medical,4238,4238,2016,2016-1001-410-80320-00000000-00000000-5305
General Fund,Maintenance Exp,Genl Fd Fire Administration,Maint Miscellaneous,164,164,2016,2016-1001-420-80400-00000000-00000000-5299
Employee Benefits Fund,Non-Dept Ins Premium,Empl Ben Ins Fd Non Dept Exp,Insure HSA City Paid,321694,321694,2016,2016-2222-910-89100-00000000-00000000-6143-
General Fund,Purchased Services,Genl Fd P&DS Administration,Training Outside,3880,3880,2016,2016-1001-430-80500-00000000-00000000-5551
Water Fund,Maintenance Exp,Water General Maintenance,Maint Machinery/Tools,6200,6200,2016,2016-5212-510-80910-00000000-WGENM   -5204-
Debt Service Fund,Debt Expense,Debt Svc Fd GO2008,Debt Principal Pmts GOB,355000,355000,2016,2016-1151-910-89210-GO2008  -00000000-6633
Wastewater Fund,Prof Svcs Exp,WW General Plant Operations,Prof Svcs Medical,925,925,2016,2016-5213-520-80960-00000000-SGOPX   -5305-
Sanitation Fund,Supplies Exp,Sanitation Fd Residential,Supplies Veh/Equip Fuel & Oil,280850,245850,2016,2016-5214-440-80780-00000000-00000000-5104
General Fund,Purchased Services,Genl Fd Legal,Insurance Premiums,6754,6754,2016,2016-1001-100-80140-00000000-00000000-5520
General Fund,Salaries/Benefit Exp,Genl Fd Develop Svcs Bldg,Benefits Car Allowance,3610,3610,2016,2016-1001-430-80520-00000000-00000000-5061
General Fund,Salaries/Benefit Exp,Genl Fd Water Fitness,Benefits FICA,85,85,2017,2017-1001-530-81125-AQ737   -00000000-5050
Water Fund,Salaries/Benefit Exp,Water Distribution Maintenance,Benefits Unemployment Comp Ins,494,494,2016,2016-5212-510-80910-00000000-WDISM   -5058-
Wastewater Fund,Supplies Exp,WW General Plant Operations,Supplies Food & Beverages,5702,5702,2016,2016-5213-520-80960-00000000-SGOPX   -5114-
General Fund,Supplies Exp,Genl Fd Uniform Patrol,Supplies Goodwill,642,642,2016,2016-1001-410-80310-00000000-00000000-5116
General Fund,Salaries/Benefit Exp,Genl Fd Comm & Nhood GIS,Benefits Retirement,4044,4044,2016,2016-1001-430-80542-00000000-00000000-5051
Water Fund,Purchased Services,Water General Operations,Advertising Recruiting,235,235,2016,2016-5212-510-80900-00000000-WGENX   -5541-
General Fund,Maintenance Exp,Genl Fd Operations East Dist,Maint Buildings/Structures,22690,22690,2016,2016-1001-530-81141-00000000-00000000-5211
Wastewater Fund,Supplies Exp,WW General Plant Operations,Supplies Laboratory,25925,25925,2016,2016-5213-520-80960-00000000-SGOPX   -5129-
Debt Service Fund,Debt Expense,Debt Svc Fd CO2008,Debt Principal Pmts CO,390000,390000,2016,2016-1151-910-89220-CO2008  -00000000-6636
Wastewater Fund,Utilities Exp,WW General Plant Operations,Utilities Mobile Phone,540,540,2016,2016-5213-520-80950-00000000-SGOPX   -5406-
General Fund,Salaries/Benefit Exp,Genl Fd Legal,Benefits Unemployment Comp Ins,336,336,2016,2016-1001-100-80140-00000000-00000000-5058
General Fund,Purchased Services,Genl Fd Civil Engineering,Training Outside,3692,3692,2016,2016-1001-430-80510-00000000-00000000-5551
General Fund,Supplies Exp,Genl Fd Adult Softball,Supplies Janitorial,150,150,2016,2016-1001-530-81125-SP752   -00000000-5109
General Fund,Utilities Exp,Genl Fd Municipal Court,Utilities Wastewater,500,500,2016,2016-1001-300-80240-00000000-00000000-5403
General Fund,Salaries/Benefit Exp,Genl Fd Municipal Court,Salaries Cell Allowance,1200,1200,2016,2016-1001-300-80240-00000000-00000000-5021
Fleet Maintenance Fund,Supplies Exp,Fleet Fd Admin,Supplies Medical,125,125,2016,2016-2227-440-80791-00000000-00000000-5111
General Fund,Replacements Exp,Genl Fd Fire Suppression,Replacement Fleet,1879583,1879583,2016,2016-1001-420-80420-00000000-00000000-5600
General Fund,Salaries/Benefit Exp,Genl Fd Lincoln Center,Salaries Temp/Seasonal/PTNB,98539,98539,2016,2016-1001-530-81125-CT850   -00000000-5013
General Fund,Utilities Exp,Genl Fd Operations Admin,Utilities Local Phone,845,845,2016,2016-1001-530-81140-00000000-00000000-5404
Electric Fund,Supplies Exp,Elec T&D Mnt Dist Overhead,Supplies Workorder Supplies,20000,20000,2016,2016-5211-500-80870-00000000-593     -5100-
Electric Fund,Supplies Exp,Elec Sub Mnt Comp Sftw Trans,Supplies Computer Hdw/Sftw/Oth,39,39,2016,2016-5211-500-80820-00000000-569.2   -5112
Wastewater Fund,Purchased Services,WW General Plant Operations,Training Safety,4631,4631,2016,2016-5213-520-80950-00000000-SGOPX   -5553-
General Fund,Salaries/Benefit Exp,Genl Fd Operations Admin,Benefits Gym Membership,241,241,2016,2016-1001-530-81140-00000000-00000000-5060
General Fund,Supplies Exp,Genl Fd Tennis Instruction,Supplies Clothing/Uniforms,200,200,2016,2016-1001-530-81125-SP760   -00000000-5120
General Fund,Indirect Exp,Genl Fd Thomas Pool,Recreation Indirect Admin,8399,8399,2016,2016-1001-530-81125-AQ732   -00000000-5800
General Fund,Salaries/Benefit Exp,Genl Fd IT Administration,Benefits Gym Membership,241,241,2016,2016-1001-600-81200-00000000-00000000-5060
Wastewater Fund,Misc Operating Exp,WW General Plant Maintenance,Misc Other,4000,4000,2016,2016-5213-520-80960-00000000-SGMTM   -5990-
General Fund,Utilities Exp,Genl Fd Criminal Investigation,Utilities Mobile Phone,1756,1756,2016,2016-1001-410-80320-00000000-00000000-5406
Utility Customer Service Fund,Utilities Exp,UCS Fd Bill/Coll,Utilities Phone Long Distance,892,892,2016,2016-2226-300-80260-00000000-00000000-5405
General Fund,Purchased Services,Genl Fd Neighborhood Services,Travel Lodging/Transport/Other,1000,1000,2016,2016-1001-100-80151-00000000-00000000-5570
General Fund,Purchased Services,Genl Fd Streets Maintenance,Rent/Lease Clothing,4500,4500,2016,2016-1001-440-80740-00000000-00000000-5503
General Fund,Utilities Exp,Genl Fd E Government,Utilities Phone Long Distance,19,19,2016,2016-1001-600-81210-00000000-00000000-5405
General Fund,Salaries/Benefit Exp,Genl Fd Account/Treasury Oper,Benefits Group Health Ins,67078,67078,2016,2016-1001-300-80210-00000000-00000000-5055
General Fund,Purchased Services,Genl Fd Cemetery,Insurance Miscellaneous,88,88,2016,2016-1001-530-81144-00000000-00000000-5529
Water Fund,Salaries/Benefit Exp,Water Distribution Operations,Salaries Overtime,24283,24283,2016,2016-5212-510-80910-00000000-WDISX   -5014-
Fleet Maintenance Fund,Purchased Services,Fleet Fd Admin,Printing External,500,500,2016,2016-2227-440-80791-00000000-00000000-5582
Electric Fund,Salaries/Benefit Exp,Elec Dis Ld Disp,Benefits Workers Comp Ins,693,693,2016,2016-5211-500-80830-00000000-556     -5057-
General Fund,Salaries/Benefit Exp,Genl Fd City Secretary,Benefits Educational Reimburse,2000,2000,2016,2016-1001-100-80110-00000000-00000000-5059
Neighborhood Park Zone 14 Fund,G&A Transfer Out,Neigh Pk Zone 14 Non Dept Exp,G&A Transfer Out General Fd,523,523,2016,2016-4184-910-89100-00000000-00000000-6310
Wastewater Fund,Utilities Exp,WW General Plant Operations,Utilities Local Phone,1737,1737,2016,2016-5213-520-80960-00000000-SGOPX   -5404-
General Fund,Salaries/Benefit Exp,Genl Fd Network Services,Benefits Group Health Ins,25108,25108,2016,2016-1001-600-81260-00000000-00000000-5055
General Fund,Utilities Exp,Genl Fd Rec Sports Admin,Utilities Local Phone,721,721,2016,2016-1001-530-81125-SP750   -00000000-5404
General Fund,Supplies Exp,Genl Fd Municipal Court,Supplies Office Supplies,4200,4200,2016,2016-1001-300-80240-00000000-00000000-5101
General Fund,Prof Svcs Exp,Genl Fd Code Enforcement,Prof Svcs Pre Employment Costs,150,150,2016,2016-1001-450-80610-00000000-00000000-5307
Electric Fund,Salaries/Benefit Exp,Elec Dis Tr Ld Disp & NERC Trn,Salaries Overtime,45647,45647,2016,2016-5211-500-80830-00000000-561.2   -5014
Community Development Fund,Salaries/Benefit Exp,Com Dev Fd Operations,Benefits Workers Comp Ins,319,319,2016,2016-3122-450-80630-00000000-00000000-5057
General Fund,Purchased Services,Genl Fd Code Enforcement,Training Outside,2889,2889,2016,2016-1001-450-80610-00000000-00000000-5551
Electric Fund,Salaries/Benefit Exp,Elec Whse Stores Exp,Benefits Gym Membership,121,121,2016,2016-5211-500-80800-00000000-163     -5060
Wastewater Fund,Salaries/Benefit Exp,WW General Plant Operations,Benefits FICA,42028,42028,2016,2016-5213-520-80960-00000000-SGOPX   -5050-
General Fund,Misc Operating Exp,Genl Fd City Manager,Misc Postage & Freight,100,100,2016,2016-1001-100-80130-00000000-00000000-5960
General Fund,Supplies Exp,Genl Fd Develop Svcs Dev Coord,Supplies Awards,89,89,2016,2016-1001-430-80521-00000000-00000000-5121
Electric Fund,Purchased Services,Elec Eng Safety,Travel Lodging/Transport/Other,5914,5914,2016,2016-5211-500-80850-00000000-925     -5570-
General Fund,Supplies Exp,Genl Fd Operations Admin,Supplies Clothing/Uniforms,23383,23383,2016,2016-1001-530-81140-00000000-00000000-5120
Electric Fund,Salaries/Benefit Exp,Elec Dis Ld Disp,Benefits Group Health Ins,42211,42211,2016,2016-5211-500-80830-00000000-556     -5055-
Electric Fund,Supplies Exp,Elec Adm Ofc Supp/Other,Supplies Veh/Equip Fuel & Oil,95363,95363,2016,2016-5211-500-80810-00000000-921     -5104-
Sanitation Fund,Salaries/Benefit Exp,Sanitation Fd Residential,Benefits Gym Membership,483,483,2016,2016-5214-440-80780-00000000-00000000-5060
General Fund,Purchased Services,Genl Fd Operations Admin,Travel Lodging/Transport/Other,4839,4839,2016,2016-1001-530-81140-00000000-00000000-5570
General Fund,Supplies Exp,Genl Fd Operations West Dist,Supplies Minor Equip/Tools,1500,1500,2016,2016-1001-530-81143-00000000-00000000-5102
Drainage Utility Fund,Purchased Services,Drainage Fd Maintenance,Travel Lodging/Transport/Other,2000,2000,2016,2016-3912-440-80796-00000000-00000000-5570
General Fund,Utilities Exp,Genl Fd Lincoln Center,Utilities Sanitation,4300,4300,2016,2016-1001-530-81125-CT850   -00000000-5408
General Fund,Indirect Exp,Genl Fd Swim Lessons,Recreation Indirect Prog Exp,23248,23248,2016,2016-1001-530-81125-AQ736   -00000000-5830
Water Fund,Dept Capital Exp,Water Direct Capital,Capital Computer Hardware,20000,20000,2016,2016-5212-910-89100-00000000-WDRCP   -5700-
General Fund,Salaries/Benefit Exp,Genl Fd Support Services,Benefits Group Health Ins,50092,50092,2016,2016-1001-410-80340-00000000-00000000-5055
General Fund,Maintenance Exp,Genl Fd Lincoln Center,Maint Office Equip/Furn,2850,2850,2016,2016-1001-530-81125-CT850   -00000000-5200
General Fund,Supplies Exp,Genl Fd P&DS Administration,Supplies Computer Hdw/Sftw/Oth,138,138,2016,2016-1001-430-80500-00000000-00000000-5112
Water Fund,Purchased Services,Water General Operations,Training Outside,8012,8012,2016,2016-5212-510-80900-00000000-WGENX   -5551-
Electric Fund,Salaries/Benefit Exp,Elec Dis Tr Ld Disp & NERC Trn,Benefits FICA,33195,33195,2016,2016-5211-500-80830-00000000-561.2   -5050
Sanitation Fund,Salaries/Benefit Exp,Sanitation Fd Residential,Benefits Group Health Ins,211363,211363,2016,2016-5214-440-80780-00000000-00000000-5055
Water Fund,Purchased Services,Water General Operations,Rent/Lease Equipment,1212,1212,2016,2016-5212-510-80910-00000000-WGENX   -5500-
General Fund,Supplies Exp,Genl Fd Operations West Dist,Supplies Safety,600,600,2016,2016-1001-530-81143-00000000-00000000-5122
General Fund,Purchased Services,Genl Fd Facilities Management,Rent/Lease Equipment,1000,1000,2016,2016-1001-440-80720-00000000-00000000-5500
General Fund,Salaries/Benefit Exp,Genl Fd Fire Suppression,Salaries Cell Allowance,2160,2160,2016,2016-1001-420-80420-00000000-00000000-5021
General Fund,Maintenance Exp,Genl Fd Fire Suppression,Maint Computer Hdw/Sftw/Other,4800,4800,2016,2016-1001-420-80420-00000000-00000000-5201
General Fund,Supplies Exp,Genl Fd Fire Suppression,Supplies Veh/Equip Radio/Pager,2500,2500,2016,2016-1001-420-80420-00000000-00000000-5106
Water Fund,Supplies Exp,Water Source Maintenance,Supplies Workorder Supplies,54182,54182,2016,2016-5212-510-80900-00000000-WSORM   -5100-
General Fund,Salaries/Benefit Exp,Genl Fd Purchasing,Benefits Unemployment Comp Ins,151,151,2016,2016-1001-300-80220-00000000-00000000-5058
General Fund,Misc Operating Exp,Genl Fd Jail,Misc Credit Card Fees,4000,4000,2016,2016-1001-410-80355-00000000-00000000-5950-
Drainage Utility Fund,Purchased Services,Drainage Fd Maintenance,Advertising Recruiting,500,500,2016,2016-3912-440-80796-00000000-00000000-5541
General Fund,Utilities Exp,Genl Fd Legal,Utilities Local Phone,666,666,2016,2016-1001-100-80140-00000000-00000000-5404
General Fund,Supplies Exp,Genl Fd Thomas Pool,Supplies Medical,827,827,2016,2016-1001-530-81125-AQ732   -00000000-5111
General Fund,Salaries/Benefit Exp,Genl Fd Splash Pads,Salaries Temp/Seasonal/PTNB,5028,5028,2016,2016-1001-530-81125-AQ735   -00000000-5013
General Fund,Indirect Exp,Genl Fd Adult Softball,Recreation Indirect Field Cost,42000,42000,2016,2016-1001-530-81125-SP752   -00000000-5820
Electric Fund,Prof Svcs Exp,Elec EM Misc Exp Prof Services,Prof Svcs Special Studies,10000,10000,2016,2016-5211-500-80860-00000000-916.4   -5304
Wastewater Fund,Salaries/Benefit Exp,WW Sludge Operations,Benefits Workers Comp Ins,3363,3363,2016,2016-5213-520-80960-00000000-SLUDX   -5057-
General Fund,Salaries/Benefit Exp,Genl Fd Landscape/Irrigation,Benefits Workers Comp Ins,3766,3766,2016,2016-1001-440-80760-00000000-00000000-5057
General Fund,Salaries/Benefit Exp,Genl Fd Cemetery,Benefits Group Life Insurance,362,362,2016,2016-1001-530-81144-00000000-00000000-5056
Property & Casualty Ins Fund,Salaries/Benefit Exp,P&C Ins Fd Operations,Benefits Group Health Ins,12664,12664,2016,2016-2221-100-80160-00000000-00000000-5055
Utility Customer Service Fund,Purchased Services,UCS Fd Bill/Coll,Travel Lodging/Transport/Other,4010,4010,2016,2016-2226-300-80260-00000000-00000000-5570
Electric Fund,Salaries/Benefit Exp,Elec Com Reliab/Plan/Stand Dev,Benefits Unemployment Comp Ins,80,80,2016,2016-5211-500-80840-00000000-561.5   -5058
General Fund,Salaries/Benefit Exp,Genl Fd Develop Svcs Dev Coord,Salaries Overtime,2507,2507,2016,2016-1001-430-80521-00000000-00000000-5014
General Fund,Purchased Services,Genl Fd Civil Engineering,Advertising Legal Notices,500,500,2016,2016-1001-430-80510-00000000-00000000-5540
General Fund,Replacements Exp,Genl Fd Fire Administration,Replacement Virtual Servers,8506,8506,2016,2016-1001-420-80400-00000000-00000000-5601-
General Fund,Salaries/Benefit Exp,Genl Fd Network Services,Benefits Retirement,26239,27977,2016,2016-1001-600-81260-00000000-00000000-5051
General Fund,Prof Svcs Exp,Genl Fd Public Communications,Prof Svcs Contract Labor,1500,1500,2016,2016-1001-100-80150-00000000-00000000-5315
General Fund,Utilities Exp,Genl Fd Support Services,Utilities Mobile Phone,27900,27900,2016,2016-1001-410-80340-00000000-00000000-5406
Electric Fund,Maintenance Exp,Elec Adm Ofc Supp/Other,Maint Computer Hdw/Sftw/Other,56100,56100,2016,2016-5211-500-80810-00000000-921     -5201
General Fund,Salaries/Benefit Exp,Genl Fd Business Services,Benefits Gym Membership,483,483,2016,2016-1001-600-81250-00000000-00000000-5060
General Fund,Salaries/Benefit Exp,Genl Fd Youth Basketball,Benefits FICA,677,677,2016,2016-1001-530-81125-SP754   -00000000-5050
General Fund,Purchased Services,Genl Fd Municipal Court,Insurance Notary/Bonds,200,200,2016,2016-1001-300-80240-00000000-00000000-5521
General Fund,Salaries/Benefit Exp,Genl Fd Business Services,Benefits Group Life Insurance,1034,1034,2016,2016-1001-600-81250-00000000-00000000-5056
Sanitation Fund,Salaries/Benefit Exp,Sanitation Fd Residential,Benefits Unemployment Comp Ins,816,816,2016,2016-5214-440-80780-00000000-00000000-5058
Electric Fund,Misc Operating Exp,Elec Adm Misc General Exp,Misc Subscriptions,400,400,2016,2016-5211-500-80810-00000000-930.2   -5935
General Fund,Salaries/Benefit Exp,Genl Fd City Secretary,Benefits Workers Comp Ins,282,282,2016,2016-1001-100-80110-00000000-00000000-5057
General Fund,Supplies Exp,Genl Fd Xtra Education,Supplies Miscellaneous,7000,7000,2016,2016-1001-530-81125-XT794   -00000000-5199
Electric Fund,Purchased Services,Elec Adm Property Insurance,Insurance Premiums,124416,124416,2016,2016-5211-500-80810-00000000-924     -5520
General Fund,Salaries/Benefit Exp,Genl Fd P&DS Administration,Benefits Unemployment Comp Ins,80,80,2016,2016-1001-430-80500-00000000-00000000-5058
General Fund,Supplies Exp,Genl Fd SW Center   Teen,Supplies Awards,510,510,2016,2016-1001-530-81125-CT840   -00000000-5121
Wastewater Fund,Dept Capital Exp,WW Direct Capital,Capital Office Furniture/Equip,5000,5000,2016,2016-5213-910-89100-00000000-SDRCP   -5710-
Fleet Maintenance Fund,Purchased Services,Fleet Fd Admin,Travel Lodging/Transport/Other,5500,5500,2016,2016-2227-440-80791-00000000-00000000-5570
General Fund,Dept Capital Exp,Genl Fd Business Services,Capital Computer Hardware,20000,20000,2016,2016-1001-600-81250-00000000-00000000-5700
General Fund,Supplies Exp,Genl Fd Emergency Medical Svcs,Supplies Janitorial,3000,3000,2016,2016-1001-420-80440-00000000-00000000-5109
Wastewater Fund,Salaries/Benefit Exp,WW Collection Operations,Salaries Overtime,10755,10755,2016,2016-5213-520-80950-00000000-SCOPX   -5014-
General Fund,Salaries/Benefit Exp,Genl Fd Traffic Signs/Markings,Benefits Group Health Ins,33655,33655,2016,2016-1001-440-80750-00000000-00000000-5055
General Fund,Salaries/Benefit Exp,Genl Fd Emergency Medical Svcs,Salaries Cell Allowance,360,360,2016,2016-1001-420-80440-00000000-00000000-5021
General Fund,Salaries/Benefit Exp,Genl Fd Public Communications,Benefits Gym Membership,241,241,2016,2016-1001-100-80150-00000000-00000000-5060
Utility Customer Service Fund,Utilities Exp,UCS Fd Bill/Coll,Utilities Wastewater,350,350,2016,2016-2226-300-80260-00000000-00000000-5403
General Fund,Supplies Exp,Genl Fd Special Operations,Supplies Office Supplies,2500,2500,2016,2016-1001-410-80360-00000000-00000000-5101
General Fund,Salaries/Benefit Exp,Genl Fd GIS,Benefits Retirement,15897,15897,2016,2016-1001-600-81220-00000000-00000000-5051
Electric Fund,Supplies Exp,Elec Adm Ofc Supp/Other,Supplies Office Supplies,26837,26837,2016,2016-5211-500-80810-00000000-921     -5101
